	2.667228206581955
[|	0.28768207245178085
|]	0.28768207245178085
°	4.613138355637268
±	5.123963979403259
×	2.095441883026277
÷	5.529429087511423
ú	5.529429087511423
ā	5.529429087511423
ǔ	5.529429087511423
ǖ	5.529429087511423
Α	5.123963979403259
σ	5.529429087511423
τ	5.529429087511423
У	5.529429087511423
Ч	5.529429087511423
―	2.4159137783010487
‘	4.430816798843313
’	4.276666119016055
“	0.46683405448445653
”	0.46683405448445653
…	4.143134726391533
℃	4.143134726391533
∏	5.529429087511423
∠	5.529429087511423
∪	5.529429087511423
∽	5.529429087511423
⑴	5.529429087511423
⑷	5.123963979403259
⑸	5.529429087511423
⑹	5.529429087511423
⒄	5.123963979403259
⒉	5.123963979403259
⒋	5.529429087511423
⒌	5.123963979403259
⒐	5.529429087511423
⒑	5.123963979403259
⒚	5.529429087511423
┒	5.529429087511423
┖	5.529429087511423
┣	5.529429087511423
┤	5.529429087511423
┬	5.529429087511423
■	5.123963979403259
▲	3.3893629240151526
、	0.303682413798222
。	0.024097551579060524
〉	5.123963979403259
《	0.959886079166483
》	0.959886079166483
「	5.123963979403259
」	4.836281906951478
『	5.529429087511423
【	1.2458425256507941
】	1.2389696463630322
〗	5.529429087511423
ぃ	5.123963979403259
ち	5.529429087511423
っ	5.123963979403259
ぷ	5.529429087511423
コ	5.529429087511423
ザ	5.123963979403259
ソ	5.529429087511423
ナ	5.123963979403259
・	2.0481889981757315
ㄍ	5.529429087511423
一	0.1967102942460543
一一	4.276666119016055
一万	4.430816798843313
一下	2.4159137783010487
一下子	4.276666119016055
一个	0.8109302162163288
一个人	4.836281906951478
一举	5.123963979403259
一些	1.2881023349406768
一亿	5.123963979403259
一代	3.7376696182833684
一体	4.430816798843313
一体化	4.430816798843313
一体机	5.123963979403259
一元	5.123963979403259
一共	4.430816798843313
一关	5.529429087511423
一再	5.529429087511423
一分钟	4.430816798843313
一切	3.657626910609832
一刻	5.529429087511423
一刻钟	5.529429087511423
一千	4.613138355637268
一半	3.087082052142219
一卡通	5.123963979403259
一口咬定	5.123963979403259
一号	4.836281906951478
一向	5.123963979403259
一周	3.7376696182833684
一味	4.430816798843313
一团糟	5.123963979403259
一块儿	5.529429087511423
一夜	4.430816798843313
一大一小	5.529429087511423
一头	5.529429087511423
一如既往	4.430816798843313
一季度	4.276666119016055
一定	1.988469763474109
一家	2.0178836486804026
一家家	5.529429087511423
一对	4.430816798843313
一小时	4.836281906951478
一席之地	4.430816798843313
一年一度	4.143134726391533
一年到头	5.529429087511423
一应俱全	5.529429087511423
一度	3.278137288904928
一张	2.7885890635862225
一律	5.529429087511423
一心	4.836281906951478
一战	5.529429087511423
一手遮天	5.529429087511423
一文	4.836281906951478
一斑	4.836281906951478
一新	4.836281906951478
一方	4.430816798843313
一方面	3.278137288904928
一无所知	5.123963979403259
一日	5.529429087511423
一日千里	5.123963979403259
一旦	2.8552804380848946
一时间	4.836281906951478
一朝一夕	5.123963979403259
一来	4.613138355637268
一杯羹	4.836281906951478
一样	2.145038824165649
一概而论	5.529429087511423
一模一样	5.529429087511423
一次	2.290750635347043
一次性	4.613138355637268
一次成型	5.529429087511423
一次次	4.613138355637268
一步	3.657626910609832
一毛钱	5.529429087511423
一泄千里	5.529429087511423
一波又起	4.836281906951478
一波未平	4.836281906951478
一派	5.529429087511423
一流	4.276666119016055
一清	5.529429087511423
一潭死水	5.529429087511423
一点	2.611658355427144
一番	3.278137288904928
一百	5.529429087511423
一百万	5.529429087511423
一目了然	5.529429087511423
一直	1.6478652895679857
一瞬间	5.529429087511423
一站式	4.613138355637268
一等奖	5.529429087511423
一筹	5.529429087511423
一级	4.276666119016055
一线	3.7376696182833684
